S.No.,State,District,2022 - 2023,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,Dantewada,"1,042.00",430,0.41
,,Dhamtari,"17,970.00","15,945.00",0.89
,,Durg,"25,652.00","21,415.00",0.83
,,Gariyaband,"4,759.00","2,055.00",0.43
,,Gaurella-pendra-marwahi,"2,472.00","1,338.00",0.54
,,Janjgir-champa,236,167,0.71
,,Jashpur,"22,052.00","9,936.00",0.45
,,Kabirdham,"99,288.00","84,817.00",0.85
,,Kanker,"6,492.00","2,602.00",0.4
,,Khairgarh chhuikhadan gandai,"70,537.00","80,656.00",1.14
,,Kondagaon,"12,622.00","5,574.00",0.44
,,Korba,"3,100.00","1,392.00",0.45
,,Korea,"4,920.00","2,518.00",0.51
,,Mahasamund,"7,938.00","2,134.00",0.27
,,Manendragarh chirimiri bharatpur,"4,747.00","2,715.00",0.57
,,Mohla manpur ambagarh chouki,"8,049.00","4,416.00",0.55
,,Mungeli,"75,238.00","79,967.00",1.06
,,Narayanpur,"1,934.00",930,0.48
,,Raigarh,"12,139.00","4,345.00",0.36
,,Raipur,"4,661.00","3,248.00",0.7
,,Rajnandgaon,"52,996.00","39,572.00",0.75
,,Sakti,885,546,0.62
,,Sarangarh bilaigarh,"1,748.00","1,094.00",0.63
,,Sukma,"1,144.00",542,0.47
,,Surajpur,"10,115.00","4,918.00",0.49
,,Surguja,"11,096.00","6,491.00",0.58
7,Goa,North goa,"3,235.00","2,779.00",0.86
,,South goa,364,407,1.12
8,Gujarat,Ahmadabad,"85,728.00","70,674.00",0.82
,,Amreli,"93,276.00","1,71,474.00",1.84
,,Anand,"9,614.00","9,611.00",1
,,Aravalli,"26,650.00","26,696.00",1
,,Banas kantha,"8,575.00","6,982.00",0.81
,,Bharuch,"1,13,337.00","1,14,343.00",1.01
,,Bhavnagar,"30,129.00","44,854.00",1.49
,,Botad,"13,268.00","28,266.00",2.13
,,Chhotaudepur,"23,970.00","23,625.00",0.99
,,Dang,"29,798.00","24,552.00",0.82
,,Devbhumi dwarka,"66,284.00","1,00,891.00",1.52
,,Dohad,"55,443.00","65,735.00",1.19
,,Gandhinagar,"4,031.00","3,811.00",0.95
,,Gir somnath,"43,074.00","76,159.00",1.77
,,Jamnagar,"91,240.00","1,76,855.00",1.94
,,Junagadh,"95,988.00","1,79,669.00",1.87
,,Kachchh,"46,891.00","26,703.00",0.57
,,Kheda,"4,137.00","4,638.00",1.12
,,Mahesana,"15,181.00","10,110.00",0.67
,,Mahisagar,"19,363.00","23,747.00",1.23
,,Morbi,"32,673.00","52,341.00",1.6
,,Narmada,"22,550.00","25,416.00",1.13
,,Navsari,"3,151.00","2,842.00",0.9
,,Panch mahals,"18,429.00","28,340.00",1.54
,,Patan,"74,529.00","72,270.00",0.97
,,Porbandar,"53,805.00","1,10,511.00",2.05
,,Rajkot,"82,834.00","1,60,185.00",1.93
,,Sabar kantha,"21,261.00","23,154.00",1.09
,,Surat,"14,444.00","17,250.00",1.19
,,Surendranagar,"45,399.00","62,716.00",1.38
,,Tapi,"18,321.00","15,618.00",0.85
,,Vadodara,"28,180.00","37,887.00",1.34
,,Valsad,"18,835.00","12,939.00",0.69
9,Haryana,Bhiwani,"28,950.00","13,890.00",0.48
,,Charki dadri,810,810,1
,,Faridabad,30,10,0.33
,,Fatehabad,610,820,1.34
,,Gurgaon,60,30,0.5
,,Hisar,"21,820.00","18,070.00",0.83
,,Jhajjar,250,160,0.64
,,Jind,60,30,0.5
,,Kaithal,10,10,1
,,Karnal,10,10,1
,,Mahendragarh,"3,710.00","4,210.00",1.13
,,Mewat,60,60,1
,,Palwal,30,10,0.33
,,Panchkula,40,40,1
,,Panipat,20,30,1.5
,,Rewari,320,80,0.25
,,Rohtak,30,30,1
,,Sirsa,"2,530.00","3,080.00",1.22
,,Sonipat,20,10,0.5
,,Yamunanagar,30,20,0.67
10,Himachal Pradesh,Bilaspur,25,20,0.8
,,Chamba,"3,169.00","2,344.00",0.74
,,Kangra,"1,514.00",941,0.62
,,Kinnaur,585,882,1.51
,,Kullu,"1,897.00","1,682.00",0.89
,,Lahul and spiti,38,57,1.5
,,Mandi,"3,627.00","2,642.00",0.73
,,Shimla,"1,741.00","1,534.00",0.88
,,Sirmaur,925,560,0.61
,,Solan,280,127,0.45
,,Una,124,112,0.9
11,Jammu and Kashmir,Badgam,3,0.8,0.27
,,Doda,1,0.7,0.7
,,Jammu,190,58.47,0.31
,,Kathua,38,15.9,0.42
,,Kishtwar,28,25.2,0.9
,,Poonch,1,0.2,0.2
,,Rajauri,4,1.3,0.33
,,Samba,4,2,0.5
,,Shopian,4,5.1,1.28
12,Jharkhand,Bokaro,"27,776.00","39,157.00",1.41
,,Chatra,"26,446.00","29,047.00",1.1
,,Deoghar,"10,365.00","13,392.00",1.29
,,Dhanbad,"4,210.00","5,127.00",1.22
,,Dumka,"12,501.00","11,855.00",0.95
,,East singhbum,"14,204.00","12,717.00",0.9
,,Garhwa,"47,523.00","48,805.00",1.03
,,Giridih,"19,788.00","27,256.00",1.38
